epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.522,2.16002,3.71755,2.14399,0.70293,0.17545,0.15606,0.09007,1.71051,2.74656,2.00119,0.000174558,0.000174558,0.000174558
2,278.697,1.6372,2.5333,1.75394,0.60602,0.24046,0.24668,0.16054,1.54472,2.35995,1.87421,0.000338344,0.000338344,0.000338344
3,630.085,1.51862,2.13601,1.65639,0.83226,0.19105,0.26653,0.1665,1.4504,2.04603,1.78472,0.000490559,0.000490559,0.000490559
4,808.719,1.45244,1.9122,1.59993,0.73045,0.31131,0.36614,0.22358,1.49229,1.80415,1.80535,0.000473926,0.000473926,0.000473926
5,963.361,1.40603,1.77998,1.57069,0.5989,0.35996,0.38099,0.24375,1.36734,1.57881,1.68612,0.000456568,0.000456568,0.000456568
6,1130.02,1.361,1.62131,1.53195,0.59654,0.35402,0.40957,0.26459,1.35913,1.50775,1.68682,0.00043921,0.00043921,0.00043921
7,1287.27,1.3317,1.52726,1.49924,0.53447,0.42211,0.43834,0.2862,1.35518,1.37739,1.6505,0.000421852,0.000421852,0.000421852
8,1458.68,1.30781,1.46099,1.48789,0.63399,0.39313,0.45133,0.29807,1.33783,1.43572,1.63726,0.000404494,0.000404494,0.000404494
9,1612.15,1.2941,1.41038,1.47457,0.5595,0.44528,0.48025,0.31559,1.29559,1.34944,1.59502,0.000387136,0.000387136,0.000387136
10,1790.78,1.27191,1.33316,1.45185,0.6628,0.4458,0.50852,0.332,1.31996,1.24096,1.62183,0.000369778,0.000369778,0.000369778
11,1976.15,1.24629,1.29631,1.4322,0.67767,0.47247,0.53324,0.35331,1.28703,1.19875,1.60438,0.00035242,0.00035242,0.00035242
12,2151.15,1.23759,1.23977,1.4235,0.55489,0.52182,0.53571,0.35464,1.28041,1.27347,1.5719,0.000335062,0.000335062,0.000335062
13,2349.41,1.22948,1.21691,1.41527,0.68013,0.48981,0.57798,0.37143,1.26506,1.21068,1.5766,0.000317704,0.000317704,0.000317704
14,2497.72,1.2044,1.16444,1.3906,0.62371,0.4879,0.56155,0.36681,1.27603,1.15925,1.58495,0.000300346,0.000300346,0.000300346
15,2650.76,1.20545,1.13256,1.39739,0.57277,0.54432,0.56727,0.36262,1.2521,1.14942,1.55105,0.000282988,0.000282988,0.000282988
16,2816.57,1.17739,1.1149,1.38367,0.63727,0.54355,0.59817,0.38488,1.2523,1.07918,1.54724,0.00026563,0.00026563,0.00026563
17,2969.5,1.18961,1.09734,1.38222,0.56103,0.56613,0.60368,0.38505,1.29748,1.10347,1.61115,0.000248272,0.000248272,0.000248272
18,3160.85,1.14477,1.05353,1.35616,0.68394,0.59968,0.64508,0.40595,1.2369,1.04992,1.54667,0.000230914,0.000230914,0.000230914
19,3313.92,1.13911,1.03897,1.35958,0.59034,0.63784,0.66285,0.4221,1.22059,1.0131,1.5287,0.000213556,0.000213556,0.000213556
20,3468.11,1.14668,1.02002,1.3485,0.66115,0.59667,0.66016,0.4199,1.23159,0.98089,1.52924,0.000196198,0.000196198,0.000196198
21,3675.97,1.08093,0.84184,1.33325,0.68857,0.60697,0.66893,0.41893,1.24471,0.98947,1.53976,0.00017884,0.00017884,0.00017884
22,3872.9,1.05863,0.7968,1.32286,0.58166,0.66292,0.66559,0.42316,1.20709,0.95963,1.52753,0.000161482,0.000161482,0.000161482
23,4023.95,1.03174,0.7606,1.30641,0.74834,0.54361,0.63502,0.40717,1.21647,0.95536,1.52552,0.000144124,0.000144124,0.000144124
24,4193.58,1.02393,0.74635,1.29712,0.66458,0.65177,0.67371,0.43426,1.19392,0.91091,1.50742,0.000126766,0.000126766,0.000126766
25,4344.36,1.00661,0.71228,1.2846,0.69582,0.65611,0.69425,0.44685,1.20494,0.88643,1.51323,0.000109408,0.000109408,0.000109408
26,4502.87,0.99814,0.70053,1.27084,0.67138,0.6321,0.68592,0.44149,1.20332,0.90231,1.52399,9.205e-05,9.205e-05,9.205e-05
27,4649.92,0.98816,0.68109,1.26761,0.70696,0.66702,0.71962,0.47395,1.18431,0.86744,1.49961,7.4692e-05,7.4692e-05,7.4692e-05
28,4823.83,0.9777,0.66497,1.26004,0.73504,0.69308,0.73347,0.4735,1.18935,0.85676,1.49914,5.7334e-05,5.7334e-05,5.7334e-05
29,4974.8,0.96761,0.66172,1.25823,0.74419,0.66906,0.73835,0.47204,1.189,0.86142,1.50524,3.9976e-05,3.9976e-05,3.9976e-05
30,5147.05,0.95273,0.6525,1.24477,0.71685,0.6801,0.73409,0.46851,1.18087,0.85738,1.49716,2.2618e-05,2.2618e-05,2.2618e-05
